artist.id,artist.mbid,artist.playmeid,artist.7digitalid,artist.name,artist.latitude,artist.longitude,artist.location,artist.hotttnesss,artist.familiarity,song.id,track.id,track.7digitalid,release.7digitalid,audio.md5,title,release,year,mode,mode.confidence,key,key.confidence,time.signature,time.signature.confidence,analysis.sample.rate,start.of.fade.out,end.of.fade.in,tempo,duration,loudness,energy,danceability,song.hotttnesss,artist_id,term
AR009211187B989185,9dfe78a6-6d91-454e-9b95-9d7722cbc476,147337,7724,Carroll Thompson,NA,NA,NA,0.297404803,0.396817844,SOZHGUS12AB0183E50,TRAWSCW12903CD6C7E,8514023,768882,950e0846aacbee43ab99887d4b97fd7b,Change,Carroll Thompson,0,0,0.162,4,0.292,1,0,22050,181.708,0.313,127.506,188.15955,-10.303,0,0,NA,AR009211187B989185,rock
AR009211187B989185,9dfe78a6-6d91-454e-9b95-9d7722cbc476,147337,7724,Carroll Thompson,NA,NA,NA,0.297404803,0.396817844,SOBTJWY12AB017D2C4,TRBFYQS128F92E83A0,3709185,330109,01ec5354f1a4936fb2058942ab772be6,Show Some Love Where Is The Love feat. MackaB,The Other Side of Love,0,1,0.876,7,1,4,0.449,22050,421.483,0.299,171.991,425.19465,-8.091,0,0,NA,AR009211187B989185,rock
AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,-1,432034,The Meatmen,42.73383,-84.59334,"Lansing, MI",0.395627514,0.514064276,SOASBOZ12AB018DC23,TRAKWGL12903CB8529,6437705,581079,8f061d55680a7cddcd3b08a16005db17,Slum Goddess (Originally Performed by The Fugs),Cover the Earth,0,1,0.381,2,0.27,5,0.343,22050,213.653,2.403,149.034,218.5922,-7.257,0,0,NA,AR00A6H1187FB5402A,punk
AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,-1,432034,The Meatmen,42.73383,-84.59334,"Lansing, MI",0.395627514,0.514064276,SOUZOPT12A58A79B94,TRBBZTM12903CB84F3,6437651,581079,2ae0c98a568b8341be33a867dd487021,Bad Reputation (Originally Performed by Thin Lizzy),Cover the Earth,0,1,0.516,1,0.62,5,0.614,22050,160.833,0,130.164,170.4224,-5.681,0,0,0,AR00A6H1187FB5402A,punk
AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,-1,432034,The Meatmen,42.73383,-84.59334,"Lansing, MI",0.395627514,0.514064276,SOORXAG12AB01886FD,TRBCKEE12903CB853A,6437722,581079,af0caabb0931428b6b25db5b2d632e3e,We Didn't Kill Each Other (But Didn't We Try) [Originally Performed by Dallas Wayne],Cover the Earth,0,1,0.607,2,0.756,4,1,22050,216.816,0.142,193.361,216.81587,-6.439,0,0,NA,AR00A6H1187FB5402A,punk
AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,-1,432034,The Meatmen,42.73383,-84.59334,"Lansing, MI",0.395627514,0.514064276,SOSVXWK12AB01886ED,TRBFMIU12903CB8536,6437718,581079,d55514b8351f9ef5df51905a301c452e,So Long (Originally Performed by Abba),Cover the Earth,0,1,0.758,7,1,4,0.71,22050,204.632,0.096,149.79,211.3824,-5.712,0,0,NA,AR00A6H1187FB5402A,punk
AR00LNI1187FB444A5,7e836d29-fc2d-4a1f-b8da-566d47c49eed,75833,87908,Bruce BecVar,NA,NA,NA,0.340275507,0.471212607,SOCCSCK12A58A7B859,TRAHVYQ128F429826B,1156760,111881,f3fe291b6ffccb94b094042b3c494e76,Razamataz,Rhythms Of Life,0,1,0.442,0,0.396,4,1,22050,224.223,1.214,45.43,226.82077,-12.778,0,0,0.518759898,AR00LNI1187FB444A5,other
AR00LNI1187FB444A5,7e836d29-fc2d-4a1f-b8da-566d47c49eed,75833,87908,Bruce BecVar,NA,NA,NA,0.340275507,0.471212607,SOIKAUS12AB018AD93,TRAWCRG128F934F65B,5732558,517848,d5a7e45c7c5917e1f09c4300ff350fe9,Your Heart Can Sing,River of Gold,0,1,0.607,9,0.542,4,0.587,22050,247.391,0.537,135.929,257.93261,-14.374,0,0,0.229144104,AR00LNI1187FB444A5,other
AR00MBZ1187B9B5DB1,ff748426-8873-4725-bdc7-c2b18b510d41,17661,52722,Memphis Minnie,29.95244,-90.05202,"Algiers, LA",0.360644227,0.588571842,SOJWZVU12A8C137019,TRAFCPP128F426EC01,967582,91300,989c549f00ab6e7b5f2957a3b41e5a96,Pig Meat On The Line,Queen Of The Delta Blues_ Volume 2 (B),1997,1,0.309,0,0.15,4,0.097,22050,149.014,0.229,136.821,156.42077,-20.174,0,0,NA,AR00MBZ1187B9B5DB1,blues
AR00MBZ1187B9B5DB1,ff748426-8873-4725-bdc7-c2b18b510d41,17661,52722,Memphis Minnie,29.95244,-90.05202,"Algiers, LA",0.360644227,0.588571842,SOMEEAR12AAF3B3F86,TRAVDGG128F92E389A,4824319,432729,39a3caabb1fb6cfbf8ef976694311d44,Nothing In Rambling,Memphis Minnie Vol. 5 (1940-1941),1995,1,0.393,11,0.02,4,0.06,22050,161.321,0.316,112.625,166.66077,-17.053,0,0,NA,AR00MBZ1187B9B5DB1,blues
