"","artist.longitude","artist.latitude","geoCountry","geoState"
"6",10.45415,51.16418,"Germany","Thuringia"
"31",13.37698,52.51607,"Germany","Berlin"
"36",-77.029,38.8991,"United States","District of Columbia"
"46",-122.42005,37.77916,"United States","California"
"52",-111.9307,34.16788,"United States","Arizona"
"76",121.02183,14.56298,"Philippines","Metro Manila"
"91",-119.27023,37.27188,"United States","California"
"94",-117.75801,33.99604,"United States","California"
"110",31.25536,30.08374,"Egypt","Cairo Governorate"
"114",-118.24532,34.05349,"United States","California"
"117",-99.13285,19.4319,"Mexico","Federal District"
"136",-97.14306,29.57535,"United States","Texas"
"140",-95.84502,37.16793,"United States","Kansas"
"141",-98.30897,56.95468,"Canada","Manitoba"
"175",-80.9474,33.62646,"United States","South Carolina"
"180",-74.00712,40.71455,"United States","New York"
"210",-74.04323,40.7174,"United States","New Jersey"
"239",-95.96653,31.15509,"United States","Texas"
"272",-2.67973,42.84751,"Spain","Basque Country"
"275",-93.26493,44.97903,"United States","Minnesota"
"303",-83.22295,32.67828,"United States","Georgia"
"307",-83.04792,42.33168,"United States","Michigan"
"323",-73.9454,40.8079,"United States","New York"
"337",-79.9316,32.78115,"United States","South Carolina"
"338",-0.12714,51.50632,"United Kingdom",NA
"344",-122.27302,37.80506,"United States","California"
"352",-74.007118,40.71455,"United States","New York"
"355",-81.54106,27.9758,"United States","Florida"
"356",24.93258,60.17116,"Finland",NA
"376",20.46414,44.81187,"Serbia",NA
"402",2.40955,49.34463,"France","Picardy"
"439",-74.72671,40.14323,"United States","New Jersey"
"459",-84.39111,33.74831,"United States","Georgia"
"472",-2.10679,57.15382,"United Kingdom",NA
"478",-77.51329,18.03965,"Jamaica","Manchester Parish"
"510",-63.57392,44.64616,"Canada","Nova Scotia"
"519",144.96715,-37.81753,"Australia","Victoria"
"529",-72.75753,41.51776,"United States","Connecticut"
"542",-122.03095,36.97402,"United States","California"
"551",-71.08868,42.31256,"United States","Massachusetts"
"552",28.39131,46.97933,"Moldova","Hincesti"
"560",-82.7603,22.81751,"Cuba","Artemisa Province"
"564",82.79476,21.7866,"India","Chhattisgarh"
"566",12.66538,64.55653,"Norway","Nord-Trondelag"
"582",23.73641,37.97615,"Greece","Attica"
"592",-97.74298,30.2676,"United States","Texas"
"618",-117.76505,33.6671,"United States","California"
"641",-77.3819,44.16104,"Canada","Ontario"
"672",-0.23396,51.76102,"United Kingdom",NA
"682",13.49942,59.37991,"Sweden","Värmland County"
"689",-81.37739,28.53823,"United States","Florida"
"725",-73.94888,40.65507,"United States","New York"
"729",-90.19951,38.62774,"United States","Missouri"
"730",-149.10568,63.03654,"United States","Alaska"
"737",-120.51484,44.11559,"United States","Oregon"
"742",-94.10158,30.08615,"United States","Texas"
"777",-1.97406,52.88356,"United Kingdom",NA
"829",18.95574,69.65102,"Norway","Troms"
"838",-117.87394,33.74907,"United States","California"
"846",-87.63241,41.88415,"United States","Illinois"
"868",-58.37354,-34.60852,"Argentina","Autonomous City of Buenos Aires"
"873",9.99245,53.55334,"Germany","Hamburg"
"891",-80.83754,35.2225,"United States","North Carolina"
"912",-94.58306,39.10295,"United States","Missouri"
"926",-90.04892,35.14968,"United States","Tennessee"
"946",-75.16237,39.95227,"United States","Pennsylvania"
"958",-88.94561,38.62666,"United States","Illinois"
"968",-74.27362,41.36149,"United States","New York"
"991",-77.60454,40.99471,"United States","Pennsylvania"
"1005",-41.9952,-13.442,"Brazil","Bahia"
"1006",-155.43414,19.59009,"United States","Hawaii"
"1009",-83.00298,39.96196,"United States","Ohio"
"1028",7.66379,51.42721,"Germany","North Rhine-Westphalia"
"1032",-121.74477,38.54666,"United States","California"
"1042",-84.50469,39.10644,"United States","Ohio"
"1048",-81.6558,30.33138,"United States","Florida"
"1050",-80.07691,34.96578,"United States","North Carolina"
"1059",-96.89774,31.30627,"United States","Texas"
"1063",-90.60536,32.33112,"United States","Mississippi"
"1086",-79.38533,43.64856,"Canada","Ontario"
"1092",-3.99667,56.65286,"United Kingdom",NA
"1107",-90.45987,32.34973,"United States","Mississippi"
"1115",-85.97874,35.83073,"United States","Tennessee"
"1143",-96.63166,31.30757,"United States","Texas"
"1151",-82.44537,38.41982,"United States","West Virginia"
"1153",-88.95535,33.90698,"United States","Mississippi"
"1157",-89.77895,35.36302,"United States","Tennessee"
"1163",-73.85678,40.85715,"United States","New York"
"1174",-98.1607,26.30116,"United States","Texas"
"1182",-96.78176,46.87591,"United States","North Dakota"
"1187",-88.23546,43.01437,"United States","Wisconsin"
"1194",9.51695,56.27609,"Denmark",NA
"1212",-89.38669,43.07295,"United States","Wisconsin"
"1226",-88.59583,37.08571,"United States","Kentucky"
"1229",-78.47753,38.03213,"United States","Virginia"
"1245",-89.58828,36.87652,"United States","Missouri"
"1259",-84.10599,33.71197,"United States","Georgia"
"1276",-100.07715,31.1689,"United States","Texas"
"1279",-84.50032,38.04859,"United States","Kentucky"
"1296",-80.46935,35.66693,"United States","North Carolina"
"1303",-1.9086,52.47859,"United Kingdom",NA
"1314",-83.92091,35.96049,"United States","Tennessee"
"1320",133.39311,-24.9162,"Australia","Northern Territory"
"1324",-74.29504,40.23447,"United States","New Jersey"
"1333",-1.53179,54.89814,"United Kingdom",NA
"1340",-98.38983,34.60515,"United States","Oklahoma"
"1343",-102.4102,34.23294,"United States","Texas"
"1354",-90.33078,35.61301,"United States","Arkansas"
"1355",-79.87162,34.30246,"United States","South Carolina"
"1357",-95.93995,41.26069,"United States","Nebraska"
"1360",-89.87374,32.58507,"United States","Mississippi"
"1365",-89.00018,33.89627,"United States","Mississippi"
"1402",-98.49462,29.42449,"United States","Texas"
"1411",-87.90684,43.04181,"United States","Wisconsin"
"1414",-90.10785,31.55379,"United States","Mississippi"
"1418",-91.52382,30.9742,"United States","Louisiana"
"1435",26.06739,64.95014,"Finland",NA
"1436",-123.08854,44.04992,"United States","Oregon"
"1446",2.38596,42.54843,"France","Languedoc-Roussillon"
"1458",-80.73486,28.33268,"United States","Florida"
"1547",-77.27348,18.11526,"Jamaica","Clarendon Parish"
"1548",-74.7594,40.21787,"United States","New Jersey"
"1552",-84.75627,49.38426,"Canada","Ontario"
"1554",-72.92496,41.30711,"United States","Connecticut"
"1579",-72.09647,41.35644,"United States","Connecticut"
"1589",-1.20788,53.93063,"United Kingdom",NA
"1599",-90.59239,43.72233,"United States","Wisconsin"
"1606",12.49576,41.90311,"Italy","Lazio"
"1612",-106.02612,34.16612,"United States","New Mexico"
"1613",-76.79731,18.01571,"Jamaica","Kingston Parish"
